Contig	final_assembly.fasta/final_pure_reads_1.fastq RPKM
NODE_506_length_2780_cov_1.527704	43.81705
NODE_507_length_2780_cov_0.638145	14.477563
NODE_508_length_2778_cov_1.220294	25.257818
NODE_509_length_2778_cov_1.136929	25.001392
NODE_510_length_2776_cov_3.013213	66.46181
NODE_511_length_2775_cov_3.438444	79.705894
NODE_512_length_2774_cov_1.022289	19.002777
NODE_513_length_2773_cov_0.804989	13.743449
NODE_514_length_2764_cov_1.750853	37.49875
NODE_515_length_2762_cov_2.907400	66.92764
NODE_516_length_2762_cov_0.846300	23.469807
NODE_517_length_2761_cov_1.480638	45.4086
NODE_518_length_2761_cov_1.094533	19.221252
NODE_519_length_2759_cov_1.517857	32.66109
NODE_520_length_2757_cov_4.510646	163.16553
NODE_521_length_2754_cov_2.379901	59.232956
NODE_522_length_2754_cov_1.221165	19.787428
NODE_523_length_2752_cov_1.088000	20.966618
NODE_524_length_2750_cov_0.666031	28.364376
NODE_525_length_2748_cov_1.859596	33.699112
NODE_526_length_2748_cov_1.385731	19.182571
NODE_527_length_2746_cov_1.601756	65.2423
NODE_528_length_2742_cov_1.756788	66.24675
NODE_529_length_2742_cov_1.185086	15.977157
NODE_530_length_2742_cov_1.017208	28.966713
NODE_531_length_2741_cov_1.645371	67.44041
NODE_532_length_2740_cov_1.255262	23.0083
NODE_533_length_2740_cov_0.980865	14.298943
NODE_534_length_2739_cov_2.073890	33.419727
NODE_535_length_2739_cov_1.175727	33.809845
NODE_536_length_2736_cov_5.390954	187.45982
NODE_537_length_2736_cov_0.558452	10.674797
NODE_538_length_2734_cov_3.381281	61.09929
NODE_539_length_2733_cov_1.085188	23.06723
NODE_540_length_2732_cov_1.159309	20.859365
NODE_541_length_2730_cov_1.319247	20.744183
NODE_542_length_2729_cov_2.129131	59.384033
NODE_543_length_2727_cov_0.952308	12.016128
NODE_544_length_2727_cov_0.910769	21.158833
NODE_545_length_2726_cov_1.535206	36.32292
NODE_546_length_2726_cov_1.513659	42.855824
NODE_547_length_2725_cov_6.093533	658.2351
NODE_548_length_2725_cov_1.640878	53.066612
NODE_549_length_2722_cov_3.671291	60.58355
NODE_550_length_2722_cov_1.312139	29.8338
NODE_551_length_2721_cov_1.402082	22.645369
NODE_552_length_2720_cov_2.131122	40.855217
NODE_553_length_2718_cov_2.173292	76.26677
NODE_554_length_2718_cov_1.241992	47.17532
NODE_555_length_2718_cov_1.213431	56.086212
NODE_556_length_2717_cov_1.618919	16.648531
NODE_557_length_2716_cov_1.770954	24.523003
NODE_558_length_2714_cov_1.219173	40.551834
NODE_559_length_2711_cov_0.870743	27.852757
NODE_560_length_2710_cov_19.617886	1087.8412
NODE_561_length_2708_cov_10.496707	616.33307
NODE_562_length_2708_cov_1.004649	15.520124
NODE_563_length_2707_cov_1.643411	33.28849
NODE_564_length_2704_cov_2.556849	65.0702
NODE_565_length_2703_cov_1.860637	52.312603
NODE_566_length_2702_cov_0.994563	16.345499
NODE_567_length_2701_cov_1.013209	22.021845
NODE_568_length_2700_cov_1.702293	19.127846
NODE_569_length_2698_cov_3.382342	65.61094
NODE_570_length_2697_cov_1.341245	73.16286
NODE_571_length_2696_cov_1.129233	21.798464
NODE_572_length_2694_cov_1.675886	46.405704
NODE_573_length_2694_cov_1.636151	83.68891
